,label,title,description,generated_description
3035,1,Group Asks to Protest in Central Park (AP),AP - An anti-war group planning a massive demonstration the day before the GOP convention asked a judge on Wednesday to overrule city officials and let protesters gather in Central Park.,AP - A group of protesters in Central Park has asked to stage a protest in the city's central park.
37916,4,Fossil found in China may go back 230 million years,"WASHINGTON - A newly discovered fossil may be the remains of one of the first stealth hunters, a swimming dinosaur that could use its long neck to sneak up on prey and strike without warning.","The fossils found in China may go back 230 million years, a Chinese government official said on Wednesday."
45609,3,The Community Around Martha Stewart #39;s Prison,"Description: Lifestyle maven Martha Stewart is preparing to serve time in the federal prison for women in Alderson, WV NPR #39;s Noah Adams speaks with Hillary and John Benish, proprietors of Alderson Hospitality House -- a hostel for prison visitors -- about ","Martha Stewart #39;s prison is a place where she can be found, but she hasn #39;t been able to escape. She has been in prison for three years and has been released from prison."
36846,2,United skipper Keane in court,Manchester - Manchester United captain Roy Keane denied on Thursday assaulting a 16-year-old boy when he appeared before a magistrates court here.,Manchester United skipper John Keane is in court to face a possible charge of piracy after he failed to score a goal in the first half of a match against Everton on Saturday.
109358,1,Chemicals exporter faces genocide charges,"AMSTERDAM A Dutch businessman will face genocide charges for allegedly supplying Saddam Hussein #39;s government with chemicals used to make poison gas that killed thousands of Iraqi Kurds in the 1980s, prosecutors said Tuesday.",A US chemical exporter accused of genocide has been charged with illegally exporting chemicals to the United States.
40561,2,Serena topples US Open champ in China,"Top seed Serena Williams rallied to claim the China Open yesterday, taking a hard fought 4-6, 7-5, 6-4 win over US Open champion Svetlana Kuznetsova.","Serena Williams topped the US Open with a 6-3, 6-4 victory over No. 2 seed Serena Williams in the second round of the China Open on Friday."
31332,1,UN Agency Warns of Africa Locust Crisis,"ROME Sept. 17, 2004 - Swarms of desert locusts are moving across northwest Africa, threatening to devastate crops in an increasing number of countries, UN officials warned Friday.",A UN agency warns of a quot;dangerous quot; outbreak of locusts in Africa.
71278,3,"German business confidence stable despite high oil prices, strong euro (AFP)","AFP - German business confidence braved surging oil prices and the strong euro to remain stable in October, a widely watched barometer of industrial confidence in the eurozone's biggest economy showed.","AFP - German business confidence remained stable in the wake of high oil prices and a strong euro, despite a weaker euro and a weaker euro."
75203,2,Celtic hit by Dons in full spate,"Resurgent Aberdeen, all of brave, magnificent and lucky, bludgeoned Celtic in their own back yard last night. This was a mesmerising match, distinguished by two impossibly early Aberdeen goals followed by ",Celtic were beaten by Doncaster on Sunday in a full-fledged match at the Old Trafford. The Red Devils were beaten 1-0 by the Dons in the first half.
76843,2,THE DARKNESS,"JUST when you thought the dark days were over for good, they came back with a vengeance. Perhaps it might not have needed Nostradamus to predict the outbreaks of violence at both Millwall and Chelsea this week.",ATHENS (Reuters) - The darkness of the world's most popular sport is a thing of the past. It's a matter of time before we see it.
64673,1,N.Korea Committed to 6-Way Nuclear Talks - China,"North Korea says it is committed to resolving the nuclear crisis through six-party talks, a Chinese Foreign Ministry spokeswoman said on Tuesday, appearing to reverse statements out of Pyongyang over recent months.","TEHRAN (Reuters) - North Korea is committed to six-way talks on a nuclear deal with the United States, China's foreign minister said on Thursday."
112273,1,Iraqi kidnappers release South Asian hostages,"Kidnappers have released two truck drivers, one from Bangladesh and the other from Sri Lanka, after holding them hostage in Iraq for more than a month.","BAGHDAD (Reuters) - Iraqi kidnappers released two South Asian hostages on Friday, a day after the US military said they had freed them."
47162,2,Man U manager hints at dropping hat-trick star to the bench,"MANCHESTER, England - Wayne Rooney #39;s three-goal debut for Manchester United in the Champions League doesn #39;t guarantee the 18-year-old striker will start Sunday #39;s Premier League game against Middlesbrough, manager Alex Ferguson said Friday.",Manchester United manager Jose Mourinho has suggested that he will drop a hat-trick striker to the bench for next week #39;s Champions League clash with Chelsea.
18729,3,World Needs More Oil Capacity -Watchdog," SYDNEY (Reuters) - An extra 3 million barrels per day (bpd)  of production capacity worldwide is needed to avoid another  year of blistering oil prices, International Energy Agency  (IEA) executive director Claude Mandil warned on Sunday.","The world #39;s oil industry needs more capacity, a watchdog group said on Wednesday, citing a report by the World Trade Organization."
41019,4,E-Commerce Attacks on the Rise,"Symantec recently issued its biannual Internet threat report, which notes, among other trends, that e-commerce sites were the most targeted by hackers in the first six months of this year.","The number of online fraudsters is on the rise, according to a report released today by the US Department of Justice."
116741,4,NASA throws Deep Impact spacecraft at comet,NASA has is to send a probe on a collision course with a comet #39;s nucleus to find out more about the composition and history of the bodies.,"NASA has thrown a spacecraft into orbit of a comet that is about to make a huge impact, a NASA official said on Wednesday."
82717,4,Linux Cluster Firms Draw Investors (NewsFactor),"NewsFactor - Two companies specializing in Linux-based cluster systems for high performance computing have drawn the interest of investors, giving each a substantial financial boost.","NewsFactor - Linux cluster firms are attracting the attention of investors, as they offer a variety of services to help companies grow their business."
29029,3,Is Search About To Be Amazoned?,"Amazon.com has entered the search-engine wars with the debut of A9.com. The site, which relies on Google search technology, includes personalization features like a running log of sites visited ","Search is about to be Amazoned, according to a new report released today by the Internet search giant."
43376,3,Saudis to boost output as oil prices hit new highs,"Oil prices hit near record levels amid a number of supply concerns, but failed to go over 50 dollars a barrel after getting some relief as Saudi Arabia promised to increase production.","Saudi Arabia will boost its output in the wake of rising oil prices, a government official said on Thursday. The Saudi government said it would increase output by $100 million a barrel in the next three months."
12934,2,Jumping for joy over bronze,"American rider Chris Kappler won a bronze medal in show jumping yesterday in Athens, and was even happier when he learned his horse wasn't seriously hurt following a breakdown during a timed jumpoff.","ATHENS (Reuters) - Olympic gold medalists, who have been battling for the past two years, are jumping for joy over the prospect of a bronze medal in the men's 200 meters."
114619,4,Spidey slings into wireless Web with Mforma deal,"Those characters, as well as more familiar Marvel comics stars like Spider-Man and the Incredible Hulk, are going mobile. Publisher Mforma Group Inc.","Spidey Corp. has signed a deal with Mforma Inc. to develop a wireless Internet service that will allow users to access the Internet from anywhere in the world, according to a company statement."
79276,4,Bagle Gets Stale But Remains a Threat," quot;It #39;s the same old stuff we #39;ve seen in all the Bagle variants over the last months. The authors have just modified it to evade detection of most antivirus programs and spammed it widely, quot; said Mikko Hyppnen of F-Secure.","SAN FRANCISCO (Reuters) - The San Francisco Giants have lost their last two games, but they are still a threat to the national team."
45769,2,Royals pitcher to see back specialist,Kansas City Royals: Left-hander Jimmy Gobble was scratched from his start against the White Sox after an MRI revealed a problem in his lower back.,ATHENS (Sports Network) - The Houston Astros have agreed to a two-year contract extension that will allow the pitcher to return to the Major League East.
72174,2,Redskins #39; Arrington re-injures knee in practice,"Ashburn, VA (Sports Network) - Washington Redskins linebacker LaVar Arrington suffered a setback Monday in his return from knee surgery, as the All-Pro strained his right knee during a practice session.","ATHENS (Sports Network) - Washington Redskins running back Mike Arrington re-injured his right knee in practice on Sunday, the team said."
24620,2,"Ganguly praises team India, awaits arch-rival Pakistan",SOUTHAMPTON: Indian skipper Sourav Ganguly on Saturday expressed happiness over the all-round performance of the team in the ICC champions trophy match against Kenya and said they were ready for the big game against Pakistan.,India #39;s batting coach said yesterday that he was delighted with his team #39;s performance in the first Test against Pakistan.
30927,2,Nets Chief Throws Cold Water on Kidd Trade (AP),"AP - The New Jersey Nets are not going to trade All-Star point guard Jason Kidd unless they get a deal that makes them a better team, chief executive Rod Thorn said Thursday.",AP - The New Jersey Nets' head coach said Wednesday that he was concerned about the trade of former Nets center Kevin Kidd to the NBA.
2636,3,Global miner BHP Billiton posts record net profit as demand soars,SYDNEY : Global mining giant BHP Billiton posted the biggest net profit in Australian corporate history as soaring commodities prices and strong demand from China pushed net profit up 83 percent to 3.51 billion US dollars. ,"BHP Billiton, the world #39;s largest gold miner, posted a record net profit on Thursday as demand for its gold and silver rose to a record high."
103811,3,Martha #39;s meals not up to Living standards,"unless one is eating it with Martha Stewart! Carol Gilbert, 57, a Catholic nun serving time with the domestic diva at the Federal ","Martha Stewart #39;s meals are not up to the standards of the United States, according to a report released yesterday by the American Food and Agriculture Association."
1346,1,Israel Invites Bids in Construction Plan (AP),"AP - Israeli Prime Minister Ariel Sharon has approved bids for construction of 1,000 homes in Jewish West Bank settlements after freezing them earlier this month, amid growing friction with the United States over continued settlement expansion.","AP - Israel has invited bidders to submit a proposal for a new construction project in the Gaza Strip, a government official said Thursday."
2979,2,American Cyclist Hamilton Wins Time Trial,"yler Hamilton and Bobby Julich showed that there is some depth to American cycling, winning the gold and bronze medals today in the men #39;s individual time trial at the Olympics in Athens. ","ATHENS (Reuters) - American Cyclist Michael Hamilton won the time trial of the Olympic time trial on Wednesday, beating the British runner-up in the men's race."
103615,1,Sinn Fein Breaks New Ground over Power Sharing,Sinn Fein leader Gerry Adams and former IRA commander Martin McGuinness will today talk face-to-face for the first time with a Northern Ireland Chief Constable.,"Sinn Fein, the Irish Democratic Party #39;s main opposition party, said it had reached a new ground on the issue of power sharing."
98554,2,Top 25 roundup: North Carolina upsets UConn," quot;I think the game played out probably the way I thought it would play out, quot; he said.  quot;I can #39;t say that I #39;m really, really that surprised.","CHARLOTTE, NC (Sports Network) - The Carolina Panthers beat the UConn Wildcats 3-0 on Saturday night in a Top 25 roundup of the NCAA tournament."
19889,4,Alienware Breaks Performance Barrier With 4GHz CPUs,"Excess heat generated by elevated processor performance is controlled by Alienware #39;s exclusive ultra-quiet Liquid Cooling technology, which cools components with specially formulated liquid and gold-plated, pure copper coolers.","SAN FRANCISCO (Reuters) - Alienware Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ALIEN.O target=/stocks/quickinfo/fullquote""&gt;ALIEN.O&lt;/A&gt;, the world's largest processor maker, said on Tuesday it had broken a performance barrier with its 4GHz processors, a breakthrough that could help it compete with Intel Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=IBM.O target=/stocks/quickinfo/fullquote""&gt;IBM.O&lt;/A&gt;, citing a report showed."
95190,4,Google hints at slowing growth,"Google does not expect to maintain the same pace of revenue growth it has recorded over the last several quarters, the company acknowledged Thursday in a Securities and Exchange Commission filing.","Google Inc. (GOOG.O: Quote, Profile, Research) on Tuesday said it is quot;slowing growth quot; in its search engine business, a move that could slow growth in the next few years."
117993,2,Jones #39; lawyer claims Conte was rebuffed by track star,SAN FRANCISCO A lawyer for Marion Jones tells CBS the man accusing the track star of using steroids is a spurned admirer who tried  quot;for years quot; to establish a relationship with her.,"SAN FRANCISCO (Reuters) - The lawyer for former World Cup champion Michael Conte said on Wednesday he had been rebuffed by the track star, who was accused of being a quot;disgraceful quot; player."
26988,3,US retail sales down 0.3 percent in August (AFP),"AFP - US retail sales fell 0.3 percent in August, marking the third decline in the past five months, according to an estimate from the Commerce Department.","AFP - U.S. retail sales fell 0.3 percent in August, the government said, citing a drop in consumer spending and a decline in the economy."
117268,4,Plant to Make Clean Power from Turkey Droppings (Reuters),Reuters - Turkey leftovers will take on a whole\new use after a Minnesota company finishes construction of a\power plant fired by the birds' droppings.,"Reuters - A power plant in northern Turkey will makeclean electricity from droppings from its power grid, the government said on Tuesday, a day after the country's energy minister saidit was ready to make a cleanelectricity supply from the droppings."
56686,3,Sainsbury #39;s profits to fall again,Ailing British supermarket group Sainsburys showed a further deterioration in its performance today after its third profits warning this year.,"Sainsbury #39;s said on Monday that its quarterly profit will fall again, despite a sharp drop in sales. The supermarket chain said it expects its third-quarter profits to fall by $100 million to $100 million."
69340,1,Harry says sorry to family for embarrassment,Prince Harry has spoken at length to the Prince of Wales and Prince William after being involved in an early morning scuffle with a photographer outside a nightclub.,Harry Potter has said he is sorry to his family for the embarrassment he caused to his family. The former England captain was adamant that he would not be able to play in the World Cup.
119105,3,Celebrex Trial Stopped After Heart Attacks,Pfizer Inc. on Friday said a government-sponsored cancer-prevention trial of its blockbuster arthritis drug Celebrex was halted after patients taking it had more than ,"The trial of Celebrex, the world #39;s most widely used drug for treating heart attacks, has been halted after the company #39;s chief executive said it was unable to prove that the drug is safe."
10509,4,Impi Linux 2 to be launched at open source Installfest,"Johannesburg, 26 August 2004 - Impi Linux, a local open source software project geared towards promoting the widespread adoption of open source software in Africa, will launch Impi Linux 2 at the Open Source Installfest at Dimension Data Campus ","SAN FRANCISCO (Reuters) - Impi Linux 2 will be launched at the open source Installfest in San Francisco on Thursday, with the release of the second version of the Linux operating system expected to be announced by Microsoft Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MSFT.O target=/stocks/quickinfo/fullquote""&gt;MSFT.O&lt;/A&gt; and Microsoft Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MSFT.O target=/stocks/quickinfo/fullquote""&gt;MSFT.O&lt;/A&gt;."
44015,3,Kmart finalizes sale of 50 stores to Sears,"Kmart Holding Corp. has finalized the sale of 50 of its stores to Sears, Roebuck and Co. for \$575 million, the retailer said Wednesday.","Kmart Stores Inc. (KMT.N: Quote, Profile, Research), the world #39;s largest retailer, said it has finalized the sale of 50 of its stores to Sears International Inc."
51852,1,Stern to Join Sirius Satellite Radio,"NEW YORK - Top-ranked shock jock Howard Stern says he is leaving Infinity Broadcasting Corp. to join Sirius satellite radio, beginning in January 2006, where he'll get the national audience he has coveted...","Sirius Satellite Radio Inc., the world #39;s largest satellite radio company, said Monday it has signed a deal with Sirius Satellite Radio Inc."
108021,4,Mission cleared for Titan plunge,"The Huygens probe is on target and all set for its encounter with Titan, the mysterious large moon of Saturn.","A NASA astronaut has been cleared to take part in a mission to the moon Titan, but he is still unsure whether the spacecraft will be able to plunge into space."
8322,4,Gene tweaking creates a mighty mouse,"Altering a single gene can turn ordinary mice into marathon racers that can run for hours and eat huge amounts of food without getting fat, researchers say.","The mouse has been designed to be able to work with a variety of genes, but it is not the only one that can be tweaked to make it more powerful. It's also the first mouse to be able to use a single gene to tweak a gene."
62218,3,"The day on Wall Street: Stocks up for day, down for week","Stocks fell for the second straight week as investors recoiled from a major insurance industry scandal, record high oil prices, a worsening trade deficit and a mixed bag of corporate earnings.","NEW YORK (Reuters) - U.S. stocks rose for the first time in more than a week on Monday, with Wall Street's biggest gains in a week coming from a drop in oil prices."
11003,4,More Platinum Found in Women With Breast Implants,By DIEDTRA HENDERSON    WASHINGTON (AP) -- Researchers have found high concentrations of platinum in women who got silicone breast implants and in the children they bore and breast-fed afterward.    The type of platinum found in the women's blood and urine was different than the traces of regular platinum not uncommon in people's bodies...,"The discovery of platinum in breast implants is a sign that more women with breast implants are getting the benefits of the technology, according to a new study."
24738,2,Kiwis cruise to easy win over Americans,LONDON: New Zealand crushed a plucky United States team by 210 runs as the ICC Champions Trophy cricket tournament got off to an explosive and predictably wet start on Friday.,ATHENS (Reuters) - The Kiwis cruised to an easy win over the Americans in the first Test of the World Cup on Sunday.
32447,1,Man Linked to Bush Memos Contacted Cleland,"AUSTIN, Texas - A retired Texas National Guard official mentioned as a possible source for disputed documents about President Bush's service in the Guard said he passed along information to a former senator working with John Kerry's campaign.    Also, a White House official said Saturday that Bush has reviewed disputed documents that purport to show he refused orders to take a physical examination in 1972 and did not recall having seen them previously...","A man linked to the Bush administration's memos to President George W. Bush has contacted John Cleland, a lawyer for the former president said on Wednesday."
102433,2,NCAA Game Summary - Arkansas-Little Rock at Georgia Tech,Georgia Tech freshman Jeremis Smith left the game with a right knee injury near the end of the game...UALR #39;s Richard Hardman led all players with 13 rebounds...Freeman was just 1-of-9 from three-point territory...Georgia Tech improved to 4-0 all-time ,"ATHENS (Sports Network) - The Arkansas-Little Rock game was played at Georgia Tech on Saturday, with the Tigers leading the way with a 6-3 victory over the Bulldogs."
87434,1,Chile Issues Report on Pinochet Torture (AP),"AP - Chile took a key step Wednesday toward confronting the grim legacy of abuses under the 1973-90 dictatorship of Gen. Augusto Pinochet, completing a lengthy report on torture and political imprisonment with testimonies from some 35,000 victims.","AP - Chile issued a report on Monday on the torture of former dictator Pinochet, saying the country's government is not ready to accept his torture."
98913,3,Pulitzer Shares Up on Possible Sale," PHILADELPHIA (Reuters) - Shares of newspaper publisher  Pulitzer Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=PTZ.N target=/stocks/quickinfo/fullquote""&gt;PTZ.N&lt;/A&gt; jumped as much as 18 percent on Monday  after it said it hired Goldman Sachs as a financial adviser to  explore a possible sale of the company.","NEW YORK (Reuters) - Shares of Pulitzer Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=PUR.N target=/stocks/quickinfo/fullquote""&gt;PUR.N&lt;/A&gt; rose on Monday after the company said it was considering a possible sale of its stock to a private equity investment."
33173,3,Chipmaker says glut in market will bring global slowdown,"LONDON (CBS.MW) - Growth in global chip sales is likely to halve in 2005, Samsung Electronics said on Monday, according to reports.","SAN FRANCISCO (Reuters) - The world's largest chipmaker said on Wednesday that a glut in the market will bring a global slowdown in manufacturing, citing a report by the International Monetary Fund."
83389,1,"Israel, the US and the Age of Terror","THROUGHOUT its first term, the Bush administration held that the road to Jerusalem passed through Baghdad. Even before the 9/11 attacks, but especially after them, it shunned the very term  quot;peace ","Israel, the United States and the Age of Terrorism. The world #39;s largest terrorist group, the United States, has a long history of terrorism."
3104,4,"CORRECTED: Charley Shows Progress, Pitfalls in Forecasting (Reuters)","Reuters - A few decades ago, the earliest warning\Floridians would have had of a hurricane would have been black\clouds on the horizon. Now people are complaining after\Hurricane Charley hit shore at a point just 60 miles off from\the track projected by meteorologists.","Reuters - U.S. economists said on Monday that the economy is improving, but that there are still some problems in forecasting."
47503,2,Canas Advances to Shanghai Open Final (AP),"AP - Guillermo Canas booked his third finals appearance of the season with a 6-1, 6-2 victory Saturday over Jiri Novak at the Shanghai Open.","AP - Rafael Canas advanced to the semifinals of the Shanghai Open on Wednesday, winning the first round of the men's tournament."
21714,2,NL race tightens; Bonds homers,"The Chicago Cubs are just a half-game ahead of the San Francisco Giants and Houston Astros in the NL wild-card race after falling to the visiting Montreal Expos, 7-6, on Brian Schneider #39;s go-ahead single in the 12th inning.","The National League is tense, and the Yankees are in a tight race to win their first World Series. The Yankees have a chance to take a lead in the American League East, but they haven #39;t won yet."
110490,4,PalmSource Agrees To Buy Linux Developer China MobileSoft,"PalmSource Inc., which has seen its share of the handheld computer market plummet, said on Wednesday that it has agreed to acquire China MobileSoft Ltd.","PalmSource Inc., the world #39;s largest software maker, agreed to buy China MobileSoft Inc. for $1 billion in cash and stock, the company said on Thursday."
23737,4,IBM to launch Linux-only Power servers,"OpenPower line to make debut Monday as Big Blue looks beyond the chip's high-end niche, CNET News.com has learned.","IBM is to launch a Linux-only Power server next year, the company said Tuesday. The new servers will run on Windows, Mac OS and Linux operating systems, according to IBM #39;s announcement."
33935,4,Kerry's plan on outsourcing faces mixed reviews,WASHINGTON - One of the central themes in U.S. Senator John Kerry's presidential campaign is ending tax breaks for companies that send jobs overseas. But the IT community is split on whether Kerry's plan would actually keep jobs in the U.S.,"SAN FRANCISCO (Reuters) - Democratic Sen. John Kerry's plan to outsource his campaign to a private company has been met with mixed reviews, the Senate and House of Representatives said on Tuesday."
105396,2,Swift Shoaib arrives in style,"Never one to do things by half, Pakistan speedster Shoaib Akhtar made a Hollywood-like arrival yesterday at his team #39;s first training session of their Australian tour.","ATHENS (Reuters) - Pakistan's Shoaib Ali arrived in style on Sunday, a day after the country's top player was beaten by the United States in the first round of the World Cup."
18163,4,"IBM Issues Recall Of 553,000 Notebook AC Adapters","IBM is recalling more than 500,000 AC adapters made for their ThinkPad notebooks between January 1999 and August 2000. These adapters may overheat, resulting in melting, posing a fire and electrocution hazard.","IBM has issued a recall of 553,000 notebook AC adapters that were sold in the United States and Europe, the company said on Wednesday."
34937,3,Genetically altered grass spreads like wildfire,"New York -- A new study shows that genes from genetically engineered grass can spread much farther than previously known, a finding that raises questions about the straying of other plants altered through biotechnology.","The grasses that have been genetically altered are spreading like wildfire, according to a new study published in the journal Nature."
48448,3,Blow to poor states as donors defer debt plan,Finance officials failed to resolve their differences over debt relief for the worlds poorest countries and Iraq while expressing concern about the impact high oil prices would have on a strengthening global economy.,"The United States has resisted a pledge by the European Union to defer its debt repayment plan to the poorest countries, a move that could have sparked a wave of protests from some of the world #39;s poorest countries."
35368,1,"Explosion in Baghdad Kills One, Wounds 47 (AP)","AP - An explosion rocked a commercial district in western Baghdad on Wednesday, killing one person and wounding 47, authorities said.","AP - A bomb exploded in a residential area of Baghdad, killing at least one person and wounding 47, officials said."
90906,4,GeekTech: Here Comes BTX,"New industry standard should offer cooler, quieter systems--so why isn't anybody rushing to embrace it?",BTX is the latest in a long line of products designed to help users find and manage their own personal computers. The company also has a new web browser that allows users to create and manage their own personal computers.
23682,4,Chicago Mayor Unveils Surveillance Plan (AP),"AP - More than 2,000 surveillance cameras in public places would be tied in to a network that would use sophisticated software to spot emergencies or suspicious behavior under a plan announced Thursday by Mayor Richard Daley.","AP - Chicago's mayor has unveiled a plan to monitor the city's police force, a move that would allow police officers to monitor the city's surveillance system."
113430,2,Saints show Redknapp the reality,HARRY Redknapp admitted he might as well have been reading a detailed job description as he watched his new charges at Southampton blow a two-goal lead against Middlesbrough.,The Saints have a chance to prove that they are not the only team in the world. They have a chance to prove that they are the best team in the world.
118487,4,Space Station Crew Told To Cut Back on Food,"A Russian-built cargo spacecraft, Progress 16, had been scheduled to deliver fresh food, water and other supplies to the ISS last month, but the mission was delayed until late December.","The astronauts of the International Space Station have been told to cut back on their food intake, a new report says."
97496,4,Virtual Storefronts Are Rent-Free on LiveDeal,"The locally focused Web marketplace made its official debut last week, offering ""free for life"" storefronts to sellers and the ability to list anything for sale at no cost.","LiveDeal, the world #39;s largest online retailer, is offering virtual storefronts for rent-free on its Web site."
62616,2,Rossi reigns supreme,Valentino Rossi secured his fourth consecutive MotoGP world championship in style with a thrilling win in the Australian Grand Prix at Phillip Island.,"ATHENS (Reuters) - Valentino Rossi won his first Grand Prix of the year on Sunday, claiming a place in the final of the $1 million Formula One Grand Prix."
43267,3,Economy Can Withstand High Oil -Fed,"High oil prices will probably brake US growth but will not derail the economy provided they do not rise sharply from current levels, top Federal Reserve policymakers said on Tuesday.","The US economy can cope with high oil prices, the Federal Reserve said on Thursday, despite a sharp rise in the price of crude."
26529,3,The Incredible Lightness of Being OPEC,"From a distance, this OPEC meeting will look just like all the others of the past few decades. By the evening of Sept. 14, the oil ministers of the Organization of Petroleum Exporting Countries and their entourages ","The world #39;s largest oil producer, OPEC, has been a thorn in the sidelines of a meeting of the world #39;s largest oil producer."
82355,3,New menu boosts McDonald's Japan,Profits triple at McDonald's Japan after the fast-food chain starts selling larger burgers.  ,"McDonald's Inc., Japan's largest restaurant chain, said Monday it will introduce a new menu that will help it compete with rivals such as Apple Computer Inc. and Apple Computer Inc."
39856,1,Waiting for relief amid the ruins,"Screaming and pounding her chest, Gerta Stefan pointed to a pool of mud from which protruded a mattress, a bicycle tire, a few bricks and a sheet of corrugated metal.","Hundreds of thousands of people have been waiting for relief from the ruins of the Iraq war, but they are still waiting for help."
7272,1,Kenya Maasai land tensions grow,Police in Kenya shoot dead an elderly Maasai tribesman who tried to graze cattle as part of a colonial land dispute.,"Kenya #39;s Maasai tribesmen have stepped up tensions over land ownership in the country #39;s capital, a report said on Wednesday."
69766,2,Safin Overpowers Agassi to Reach Madrid Final," MADRID (Reuters) - Marat Safin defeated Andre Agassi 6-3,  7-6 on Saturday to book a place in the Madrid Masters final  against Argentina's David Nalbandian.","ATHENS (Reuters) - Safin Agassi thumped Serena Williams 6-3, 6-4 to reach the final of the Madrid Masters on Sunday."
41054,1,Paralympics Scrap Closing Celebrations After Crash,The Athens Paralympics canceled celebrations at its closing ceremony after seven schoolchildren traveling to watch the event died in a bus crash on Monday.,"ATHENS (Reuters) - The Paralympics were scrapped on Sunday after a car bomb exploded near a crowd of spectators in the Olympic capital, killing at least two people and wounding more than 100."
95895,3,Study: Harvard bolsters Boston ,"Harvard University boosts the local economy by \$3.4 billion a year, and is directly or indirectly responsible for providing the Boston area with more than 48,000 jobs, according to a study commissioned by the university.","Boston, MA (Sports Network) - Harvard University has bolstered its position as the No. 1 seed in the NCAA Division I East, according to a new study."
18450,3,British firm reconsiders Boeing #39;s Wichita plant,"LONDON - British engineering firm GKN will take another look at buying Boeing #39;s Wichita manufacturing plant, it said yesterday.","British aerospace giant Boeing Co. has reconsidered its plans to build a new plant in Wichita, Kansas, for the first time in more than a decade."
5971,4,Update 4: Two Firms Cleared of Swapping Violations,"In a judicial blow to the entertainment industry, a federal appeals court ruled that makers of two leading file-sharing programs are not legally liable for the songs, movies and other copyright works their users swap online.","Two companies have been cleared of violating federal antitrust laws, a judge ruled Monday. The two firms were cleared of violating the law by a court ruling that they had violated the United States Trade Representative #39;s antitrust protections."
55434,3,Wal-Mart Keeps Same-Store Sales Outlook (Reuters),"Reuters - Wal-Mart Stores Inc. , the\world's largest retailer, said on Saturday it still anticipates\a 2 percent to 4 percent increase in October sales at its\stores open at least a year.","Reuters - Wal-Mart Stores Inc. said on Thursday it would keep its same-store sales forecast for the third quarter of this year unchanged, despite a sharp drop in sales in the U.S. and Europe."
67704,3,"Blue Chips Tumble, Caterpillar Weighs (Reuters)","Reuters - U.S. blue-chip stocks slid lower on\Thursday, pulled down by industrial bellwether Caterpillar Inc.\, but technology shares remained higher after eBay Inc.\ posted strong earnings.","Reuters - Blue chips tumbled on Monday, while Caterpillar Inc. weighed down itssales of its new Caterpillar X-Series, a company thathas been a major player in the U.S. semiconductor industry."
112958,2,Johnson Wins Butkus,Texas linebacker Derrick Johnson wins the Butkus Award on Friday night as the nation's best linebacker.,"ATHENS (Reuters) - Jordan Johnson won the $1 million Butkus Open on Sunday, beating the former world number one in the men's singles."
92016,2,Eagles embarrass hometown Cowboys,CBC SPORTS ONLINE - Donovan McNabb threw three of his four touchdown passes to Terrell Owens as the Philadelphia Eagles pasted the Dallas Cowboys 49-21 victory at Texas Stadium on Monday.,"The Philadelphia Eagles were beaten by the Dallas Cowboys in the first half, but they were beaten by the Dallas Cowboys."
46358,4,Open source industry challenges Gartner on Linux report,This week we have seen numerous reports (a href= quot;http://www.tectonic.co.za/view.php?id=352 quot; gt;see here) in the trade press referring to Gartner UK analyst Annette Jump claiming that pre-installing Linux on PCs encourages piracy of Windows.,"The open-source industry is facing a major challenge from Gartner #39;s report on Linux, a report that shows that the company #39;s market share has declined by more than $100 billion in the past year."
91442,1,Nigerian Union Suspends Looming Strike (AP),AP - Nigeria's main labor union on Monday indefinitely suspended a looming nationwide strike that had threatened to shut down the oil industry in the world's No. 7 exporter.,"AP - The Nigerian Union suspended a planned strike on Monday against the government's plans to end the country's long-running civil war, saying it was unable to reach a deal with the government."
28984,4,Candidates battle for hearts and minds in the science journals,The battle for the US presidency enters new territory today with both candidates turning to scientific journals to set out their election promises.,The candidates for the Nobel Peace Prize are battling for hearts and minds in the science journals.
18129,4,Microsoft Steps Into  Ring,"The launch of the Microsoft digital-music store takes direct aim at Apple Computer's dominant iTunes service, setting off a battle of the bands between the online music sellers and their rock-star frontmen -- Bill Gates and Steve Jobs. &lt;BR&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;","Microsoft Corp. is stepping into the ring with a new version of its popular Windows operating system, which will allow users to download music from their iPods and other digital music players."
112554,3,Local gamer: Grand Theft Auto #39; steals the show,"Just how excited is Justin Field about the new  quot;Grand Theft Auto: San Andreas quot; video game.  quot;(It #39;s) the best game on the planet, in my mind, quot; said Field, the owner of the Eugene store and gaming center Big City Gamin #39;.","quot;It #39;s a great game, quot; said a local gamer who has been playing the game for more than a year. quot;It #39;s a great game, quot; said a local gamer who has been playing the game for more than a year."
